,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9
2015_12,-0.036971107,-0.029648993,0.007163188,-0.050629955,-0.039212129,-0.025913633,-0.036355814,-0.036145829,-0.021282932,-0.066912557
2016_1,-0.027069556,0.014056417,0.016617138,-0.049077113,-0.021831887,-0.047351856,-0.033607625,-0.043510929,-0.01453921,-0.107423082
2016_2,-0.02761352,-0.014284132,-0.002399195,-0.006684681,0.024089026,0.0394718,0.044608098,-0.004316791,-0.000138564,-0.018558819
2016_3,0.061905575,0.009626203,0.017818127,0.016518246,0.024205169,0.00404036,0.027044917,0.013349612,0.023743528,-0.16441162
2016_4,-0.032033576,0.021321021,0.025206152,0.018744528,0.025868359,0.01663289,0.016182055,0.004912323,0.02979402,0.227232329
2016_5,-0.001358289,-0.011623033,0.010450896,0.021877112,0.00881866,-0.02084677,0.015195178,0.009924144,-0.000738292,-0.45738571
2016_6,0.005596082,-0.003450324,-0.072078427,-0.010136213,-0.030724372,-0.031213317,-0.021641527,-0.024200173,-0.034143493,0.182807309
2016_7,0.034351742,0.041137716,0.047210506,0.070774367,0.036596802,0.068520897,0.067273888,0.092993747,0.08482012,-0.432764884
2016_8,0.033060435,0.029644967,0.108537268,0.025377759,0.01166953,0.054172523,0.058879463,0.029966866,0.032656345,0.492725699
2016_9,0.003433811,0.002276835,-0.009251118,0.003935241,0.029143604,0.010558581,-0.016599232,-0.041923111,0.00641953,-0.011295871
2016_10,-0.008367702,-0.012414798,-0.008875667,0.004508023,-0.02324023,-0.005824132,-0.002155525,-0.0813852,-0.026869228,-0.186441245
2016_11,-0.012921259,-0.006728799,-0.015498703,-0.005492114,0.099628482,0.040949941,0.034992403,0.039952647,0.042096469,-0.005321827
2016_12,-0.030382,-0.004099108,-0.022881904,0.006746169,-0.07981865,-0.003940548,0.014261513,0.022016959,0.013081737,0.4518507
2017_1,0.038702598,0.042013857,0.03154378,0.092216088,0.067328955,0.054704785,0.043819473,0.046566158,0.027580896,-0.550162101
2017_2,-0.017478007,0.031690962,0.06442473,-0.032612908,-0.039095299,0.035245523,0.001344949,0.049577652,0.013933393,0.042936452
2017_3,-0.003418391,0.020499901,-0.01445952,-0.000665007,0.068646359,-0.003574441,0.012127472,0.002240222,0.001661501,0.302278409
2017_4,0.032228737,0.034086699,0.04184866,0.025458974,0.03702028,0.021349945,0.023478136,0.067412967,0.047283824,-0.008227771
2017_5,0.022409388,0.028270978,-0.011538739,0.004821853,0.039649531,-0.054512532,0.048838951,0.017132127,0.032870125,0.012309884
2017_6,-0.020388283,-0.018591774,-0.063111783,-0.028411104,-0.039590966,0.025218132,-0.060089168,-0.047763826,-0.054923342,-0.055213549
2017_7,-0.008256762,0.019991271,0.026604086,0.006638763,-0.015038394,0.009688508,-0.021484304,-0.018580558,-0.014313032,0.029584552
2017_8,-0.056200499,-0.060655067,-0.07526552,-0.025584805,-0.050007165,-0.074204838,-0.076179043,-0.06124955,-0.006516755,-0.056495651
2017_9,0.024419007,0.022980865,0.000870351,0.031345184,0.020037302,0.017538498,0.036576034,0.046909185,0.028012354,0.023240641
2017_10,0.026962016,0.005413489,-0.002404539,-0.020156558,-0.009746876,0.140591901,-0.002250783,-0.027681385,0.028241298,-0.018449884
2017_11,0.008856043,0.018452706,-0.005215731,-0.001414542,0.02614941,0.018954706,0.058905816,-0.003927382,0.005522829,0.034015074
2017_12,-0.005780438,0.045440143,0.02722524,0.000521569,0.016464677,0.034778914,0.018024539,0.013245658,0.006190254,-0.021556869
2018_1,-0.012859934,-0.040420133,-0.005218178,0.004923682,-0.0124013,0.000544069,0.009396973,0.003165016,-0.016477213,0.03468317
2018_2,-0.029669434,-0.016791715,-0.035446447,-0.00616269,-0.01002338,-0.006138582,-0.005047793,-0.042308255,-0.030463034,-0.02479794
2018_3,-0.026644564,-0.042153557,0.02078322,-0.023683886,0.009264315,-0.027924117,-0.044007057,-0.038493504,-0.026231736,0.00321597
2018_4,-0.021415557,-0.060322953,-0.023514825,-0.03037472,-0.05333461,-0.04629736,-0.01213418,-0.042007474,-0.033025047,-0.007679063
2018_5,0.0424171,0.000328822,-0.012556209,-0.011368189,0.001422396,0.018449583,-0.0027379,0.011497514,0.002340133,-0.020518465
2018_6,-0.054522244,0.006136269,0.005037594,0.007880631,-0.024372038,-0.018730175,-0.018508075,0.011290013,-0.042213025,-0.012285663
2018_7,-0.029714963,-0.039938827,-0.02047504,-0.031284607,-0.000496359,-0.017714849,-0.043039617,0.013903316,-0.035487757,-0.007936773
2018_8,0.034031364,0.035864185,0.050567692,0.120069188,0.071152105,0.065109069,0.078933941,0.03231071,0.086892067,0.058227855
2018_9,-0.016765163,0.019833238,-0.013949414,-0.012782443,-0.019386282,0.032673777,0.080374886,0.012509467,0.008047089,-0.028038264
2018_10,-0.041345926,-0.020440907,-0.043099916,-0.043888113,-0.025372711,-0.024132142,-0.09598456,-0.027590207,-0.009767179,-0.042700156
