Date,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,TA125,return,,,,,,,,,,,,,,,,,
01-10-14,-0.040554355,-0.027181374,-0.018102637,-0.022568689,-0.025782579,-0.038357214,-0.021120182,-0.019897211,0.028813487,0.158516607,-0.002483463,0.002480381,0.997519619,,,,,,0.960256968,0.973184715,0.982060232,0.977684079,0.974546954,0.962369108,0.979101287,0.980299432,1.029232611,1.171771384,0.997519619
01-11-14,0.015228187,-0.012916936,0.000789138,0.021117344,0.017259767,0.027772632,-0.051917408,-0.041951731,0.011533539,0.251146608,0.0385311,0.001909436,1.03928305,,,,,,1.015344727,0.987166129,1.000789449,1.021341893,1.017409578,1.028161887,0.949407277,0.958916065,1.011600306,1.285498534,1.03928305
01-12-14,-0.048585466,-0.055351768,-0.078116028,-0.039709301,-0.087778057,-0.053010034,-0.052290726,-0.082783546,-0.062307651,0.177039676,-0.001950451,0.00194855,0.99805145,,,,,,0.952575923,0.946152263,0.924857111,0.96106878,0.915964146,0.948370496,0.949052912,0.920550382,0.939593776,1.193678452,0.99805145
01-01-15,-0.00662572,0.004344794,0.018883326,-0.005710693,-0.004219603,-0.004744072,0.019503587,0.007887764,0.017019625,-1.085981631,0.001919572,0.002398172,1.001921416,,,,,,0.993396182,1.004354246,1.019062743,0.994305582,0.995789287,0.995267163,1.019695024,1.007918955,1.017165284,0.337570254,1.001921416
01-02-15,0.045955246,0.04467805,0.055577122,0.052583413,0.045149208,0.063493415,0.059413206,0.062507072,0.05326102,0.553421127,-0.016850825,0.002312783,0.983290356,,,,,,1.047027551,1.045691145,1.057150543,1.053990475,1.046183947,1.065552469,1.06121365,1.064501987,1.054704908,1.739192851,0.983290356
01-03-15,0.019677591,0.055858477,0.047095977,0.061260836,0.027792261,0.0311622,0.069726761,0.038738965,-0.022539598,-0.40587896,-0.001936211,0.001934338,0.998065662,,,,,,1.019872471,1.05744802,1.04822261,1.063176193,1.028182069,1.031652825,1.07221517,1.039499103,0.977712521,0.666390822,0.998065662
01-04-15,0.012881135,-0.002458312,-0.006999322,0.001765263,0.005006179,0.008831029,0.015779049,-0.000497315,0.018537843,0.124995926,-0.00102576,0.001025234,0.998974766,,,,,,1.012964454,0.997544707,0.993025117,1.001766822,1.005018731,1.008870137,1.015904196,0.999502809,1.018710735,1.133143836,0.998974766
01-05-15,-0.002035966,0.004467111,-0.006802028,-0.01218439,0.004322319,-0.038528448,0.001039197,0.04621492,0.036229338,0.162876895,-0.00085985,0.000859481,0.999140519,,,,,,0.997966105,1.004477104,0.993221053,0.987889539,1.004331674,0.962204331,1.001039738,1.047299472,1.036893619,1.176891799,0.999140519
01-06-15,-0.016142522,-0.020050679,0.000253379,-0.022404719,-0.019711258,-0.017726494,-0.018486053,-0.042203995,-0.050274011,-0.761426844,-0.00080871,0.000808383,0.999191617,,,,,,0.983987071,0.980149,1.000253411,0.977844403,0.980481739,0.982429696,0.981683766,0.958674196,0.950968813,0.466999616,0.999191617
01-07-15,0.012891651,0.002898172,0.01716842,0.035369057,0.016066461,0.032281802,0.073483409,0.019798136,0.020155015,0.325990217,0.116236657,0.001068659,1.123261668,,,,,,1.012975106,1.002902376,1.017316645,1.036001982,1.016196221,1.032808512,1.07625068,1.019995419,1.020359498,1.385401815,1.123261668
01-08-15,-0.024886671,-0.025733725,-0.019752446,-0.019963726,-0.007375103,-0.0075483,0.042822386,-0.010230949,-0.006000363,0.576612324,-0.00108583,0.001085241,0.998914759,,,,,,0.975420449,0.974594565,0.980441356,0.980234229,0.992652026,0.992480117,1.043752493,0.98982121,0.994017604,1.779998148,0.998914759
01-09-15,-0.037193436,-0.024487152,-0.037534357,-0.035272744,-0.04819539,-0.028037588,-0.026291038,-0.0134004,-0.054699648,-0.556570826,-0.008405765,0.000912943,0.991629465,,,,,,0.963489744,0.975810226,0.963161326,0.965342089,0.952947572,0.972351818,0.974051562,0.986688985,0.94676947,0.573171202,0.991629465
01-10-15,0.015805194,0.006781508,0.006811812,-0.002271009,0.009334966,0.006224099,0.024300721,0.041860302,0.008853477,0.604447619,-0.058459097,0.000891862,0.94321682,,,,,,1.015930757,1.006804555,1.006835065,0.997731568,1.009378673,1.006243509,1.02459839,1.042748799,1.008892785,1.830240938,0.94321682
01-11-15,-0.000652822,-0.00678312,0.01618652,0.003104859,-0.036354643,0.028787553,-0.000382992,0.024676959,0.066138556,-0.160285158,-0.00086198,0.000861609,0.999138391,,,,,,0.999347391,0.993239834,1.016318232,1.003109685,0.964298251,1.029205919,0.999617081,1.024983955,1.068374737,0.851900828,0.999138391
01-12-15,-0.021591738,-0.032584661,-0.018411903,-0.035142567,-0.032327429,-0.015777638,-0.023890718,-0.060217324,-0.065098268,-0.144078503,-0.006907579,0.001170125,0.993116223,,,,,,0.978639695,0.967940499,0.98175656,0.965467763,0.968189517,0.984346177,0.976392406,0.941559888,0.936975384,0.865819776,0.993116223
01-01-16,-0.019961798,-0.040865932,-0.034866306,-0.01732347,-0.031396671,-0.023826116,0.002418892,-0.014341369,-0.04258563,0.053043693,-0.018695789,0.001490938,0.981477893,,,,,,0.98023612,0.959957821,0.965734521,0.982825718,0.969091087,0.976455485,1.00242182,0.985760978,0.958308402,1.054475717,0.981477893
01-02-16,0.003458222,0.006578164,0.013717423,0.025899543,-8.59E-05,0.017248421,0.002979248,-0.007933477,-0.001348602,-0.065139956,-0.033648522,0.001240031,0.966911293,,,,,,1.003464209,1.006599847,1.013811939,1.026237851,0.99991411,1.017398034,1.002983691,0.99209791,0.998652307,0.936936324,0.966911293
01-03-16,0.017777221,0.008146819,0.021917409,0.020809064,0.015123626,0.028420359,0.010741214,0.009464994,0.066602946,0.043714942,5.59E-06,0.000846422,1.000005593,,,,,,1.017936176,1.008180094,1.02215936,1.021027082,1.015238566,1.028828071,1.010799108,1.009509928,1.068870995,1.044684516,1.000005593
01-04-16,0.004353013,0.015464642,0.018859753,0.027864143,0.010381134,0.013856105,0.010076075,0.016838842,0.011364281,-0.218032464,-0.030462553,0.001071106,0.969996755,,,,,,1.004362502,1.015584839,1.019038721,1.028255979,1.010435204,1.013952546,1.010127009,1.016981414,1.011429099,0.804099337,0.969996755
01-05-16,0.008396254,0.01583064,0.006955096,-0.000343569,0.048484613,0.012605826,-0.004635943,0.000348943,-0.04789179,-0.518869822,0.021096842,0.001186516,1.021320954,,,,,,1.008431601,1.015956608,1.006979339,0.99965649,1.04967922,1.012685614,0.995374787,1.000349004,0.953236931,0.595192842,1.021320954
01-06-16,-0.012566352,-0.014873093,-0.023466593,-0.007162199,-0.009393517,-0.01359503,-0.027029451,-0.02612413,-0.051645786,0.131405117,-0.03207504,0.001129941,0.968433908,,,,,,0.987512275,0.985236965,0.976806606,0.992863388,0.990650464,0.986496965,0.973332576,0.974214153,0.949665192,1.140429695,0.968433908
01-07-16,0.025681322,0.039597238,0.0519655,0.06890076,0.052157172,0.088093585,0.05904595,0.070541538,0.074234858,-0.047545875,-0.005146507,0.000963426,0.994866713,,,,,,1.026013929,1.040391659,1.053339402,1.071329885,1.053541316,1.09209032,1.060823984,1.073089142,1.077059731,0.953566728,0.994866713
